A,B,D1,D2,D4,D5,E2,E3,E4,F11,F12,F13,F14,F21,F22,F23,F24,F25,F26,F31,F32,F33,F35,G,0,1,2,3,4,0,1,2,3,0,1,2,3,4,5,6
0.8,2.11,249,1411,11.9,13.72,0.5,1.27,2.45,20,6,8,42,1.45,0.51,5.82,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.7,2.14,249,1411,10.1,13.96,0.5,1.36,2.41,20,6,8,42,1.44,0.5,5.82,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.2,1.97,249,1411,16.5,14.2,0.5,1.46,2.36,20,6,8,42,1.42,0.5,5.89,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.4,1.71,249,1411,10.8,14.44,0.5,1.55,2.32,20,6,8,42,1.41,0.49,5.99,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.2,1.56,249,1411,11.2,14.92,0.5,1.74,2.23,20,6,8,42,1.4,0.49,6.15,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.1,1.58,249,1411,15.5,15.13,0.5,1.84,2.18,20,6,8,42,1.38,0.48,6.65,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,1.51,249,1411,14.7,15.38,0.5,1.93,2.14,20,6,8,42,1.35,0.47,7.45,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,1.73,249,1411,25.6,15.73,0.5,2.03,2.09,20,6,8,42,1.33,0.46,8.3,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2.2,2.08,263,1425,11.5,10.14,0.5,0.5,2.5,20,6,8,56,1.89,1.04,3.71,10993.0,17.6,67.0,31.0,0.0,0.95,43.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.5,2.07,263,1425,2.7,10.19,0.5,0.5,2.54,20,6,8,56,1.88,1.03,3.71,10993.0,17.6,67.0,31.0,0.0,0.95,43.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
